line;original_title;translated_title;original_text;translated_text;rating;reviewed_location_name;category;user;user_id_anonym;average_rating_tripadvisor;total_reviews_tripadvisor;city;country;month_of_visit;year_of_visit;title_sentiment;review_sentiment
13;Decepcionados;Disappointed;Llegamos en remis (900 pesos) desde el hoyo. Pagamos 1800 pesos la entrada (éramos 5) la primera impresión divina por el ambiente! Ingresamos al laberinto y a l...;We arrived by taxi (900 pesos) from the hole. We paid 1800 pesos for the entrance fee (there were 5 of us) and the first impression was divine because of the atmosphere! We entered the labyrinth and the...;2.0;Laberinto Patagonia;attraction;Violeareco;id_2;4.6;202.0;El Hoyo de Epuyén;Argentina;;;3;3
14;Divinas!!;Divine!;Apenas llegamos nos estaban esperando, cuando ingresamos quedamos fascinados con el buen gusto para la decoración y lo acogedor del lugar! Viaje con familia y a...;As soon as we arrived they were waiting for us, when we entered we were fascinated with the good taste in decoration and the coziness of the place! We traveled with family and...;5.0;Cabanas Sublime Bolson;hotel;Violeareco;id_2;3.8;11.0;El Bolson;Argentina;;;3;4
15;Muy buena estadía;Very good stay;Excelente hotel! Me hospede en dos ocasiones y en ambas fue igual. El desayuno y la ubicación son excelentes! Es súper limpio el establecimiento. Las habitacion...;Excellent hotel! I stayed twice and both times it was the same. The breakfast and the location are excellent! The establishment is super clean. The rooms are...;5.0;Hotel Nevada;hotel;Violeareco;id_2;3.2;312.0;San Carlos de Bariloche;Argentina;;;4;4
16;Muy buenas cenas;Very good dinners;La comida es muy sabrosa y casera en su totalidad. Fuimos tres moches seguidas porque valía la pena probar todo!! Las ensaladas riquísimas! Las pastas con sals...;The food is very tasty and homemade throughout. We went three nights in a row because it was worth trying everything! The salads are delicious! The pasta with sals...;5.0;El Tomillo;restaurant;Violeareco;id_2;4.1;147.0;Mendoza;Argentina;1.0;2022.0;4;4
17;100% aventura;100% aventura;Muy muy buenas opciones para pasar la tarde y elevar los niveles de adrenalina! En el lugar tenes para comer y beber. Además te proveen de todo el equipo nece...;Very good options to spend the afternoon and raise the adrenaline levels! In the place you have to eat and drink. They also provide you with all the necessary equipment...;5.0;Argentina Rafting Expeditions;unknown;Violeareco;id_2;4.9;234.0;Potrerillos;Argentina;;;3;4
18;Excelente visita;Excellent visit;Hermosa visita! No dejar de ir. Degustación y visita guiada excelente! Los productos se venden a muy buenos precios. Además hay venta de productos cosméticos;Beautiful visit! Do not miss it. Excellent tasting and guided tour! The products are sold at very good prices. There are also sales of cosmetic products;5.0;Olivicola Laur;attraction;Violeareco;id_2;4.3;621.0;Maipu;Argentina;;;4;3
19;El paraíso;Paradise;Adrenalina, cansancio, placer, naturaleza a la máxima expresión!!! Fuimos desde el Pilar, ese tramo es magnífico!! A los 2,5 km un mirador excepcional. El últi;Adrenaline, fatigue, pleasure, nature to the maximum expression! We went from El Pilar, that section is magnificent! At 2.5 km an exceptional viewpoint. The last...;5.0;Cerro Fitz Roy;attraction;Violeareco;id_2;4.9;2968.0;El Chalten;Argentina;;;3;4
20;Lindo;Lindo;Lindo lugar y fácil de llegar, hicimos pic nic con el sonido de la cascada de fondo! El sendero no es el más bello, pero si uno de los más sencillos la mejor v...;Nice place and easy to get to, we had a picnic with the sound of the waterfall in the background! The trail is not the most beautiful, but it is one of the easiest... the best way to get there is...;4.0;Chorillo del Salto;attraction;Violeareco;id_2;4.2;1359.0;El Chalten;Argentina;;;3;4
21;7 lagos imperdibles!!!;7 lakes not to be missed!;Hicimos la excursión 7 lagos y san marítn de Los Andes y verdadersmente todo salió de mil!!!!! El micro respeto medidas sanitarias, paro en todos los lagos, el...;We did the excursion 7 lakes and San Martin de Los Andes and everything really went well. !!!!! The micro respecting sanitary measures, stop in all the lakes, the...;5.0;Ms Turismo;attraction;Violeareco;id_2;3.8;18.0;San Carlos de Bariloche;Argentina;;;2;3
22;Hermoso paseo por idla victoria y arrayanes;Beautiful walk through idla victoria and myrtle groves;El día de la excursión llovió afuera, y dentro del barco también! Sacando ese inconveniente todo perfecto luego! La guía muy precisa y clara;The day of the excursion it rained outside, and inside the boat too! Apart from this inconvenience, everything was perfect afterwards! The guide was very precise and clear;3.0;Turisur Navegando la Patagonia;attraction;Violeareco;id_2;4.3;3027.0;San Carlos de Bariloche;Argentina;;;4;3
23;Caro para lo que es;Expensive for what it is;El museo del Presidio comporta 5 museos diferentes situados en la antigua prisión de Ushuaia. La visita se realiza en alrededor de 2 horas y el valor del ticket...;The Presidio Museum includes 5 different museums located in the old prison of Ushuaia. The visit takes about 2 hours and the ticket price is...;3.0;Museo Marítimo de Ushuaia;attraction;jony_quilmes25;id_3;4.1;5439.0;Ushuaia;Argentina;;;3;3
24;Trekking cercano a la ciudad;Trekking near the city;Visité el Glaciar Martial tomando un Uber para ir y volver desde la ciudad. En el ingreso al sendero se debe abonar un ticket de $10000 (o $5000 para argentin@s...;I visited the Martial Glacier taking an Uber to and from the city. At the entrance to the trail you have to pay a ticket of $10000 (or $5000 for argentin@s...;4.0;Glacier Martial;attraction;jony_quilmes25;id_3;4.4;3281.0;Ushuaia;Argentina;;;3;3
25;Parque nacional imperdible;National park not to be missed;El parque nacional cuenta con varios senderos de distinta dificultad y duración por lo que es imposible de recorrerlo en un solo día. En mi caso lo recorrí en d...;The national park has several trails of varying difficulty and duration so it is impossible to walk it in one day. In my case, I hiked it in two days.;5.0;Parque Nacional Tierra del Fuego;attraction;jony_quilmes25;id_3;4.5;8940.0;Ushuaia;Argentina;;;3;3
26;Trekking hermoso;Trekking hermoso;Para hacer este trekking contraté el transporte regular (combis que salen en diferentes horarios desde la mini terminal del puerto situada en Av. Maipú y Fadul,...;To do this trekking I hired regular transportation (vans that leave at different times from the mini terminal of the port located at Maipú and Fadul avenues,...;5.0;Laguna Esmeralda;attraction;jony_quilmes25;id_3;4.7;2796.0;Ushuaia;Argentina;;;3;2
27;Lindo paseo;Beautiful paseo;El Parque Das Aves permite en una hora y media a paso tranquilo observar diferentes aves así como también algunos reptiles y un mariposario. Se puede pagar en p...;The Parque Das Aves allows in an hour and a half at a leisurely pace to observe different birds as well as some reptiles and a butterfly farm. You can pay in cash.;4.0;Parque das Aves;attraction;jony_quilmes25;id_3;4.6;28025.0;Foz do Iguaçu;PR;;;4;2
28;Lindo paseo nocturno;Nice night walk;Interesante paseo para hacer de noche, recomiendo llegar allí recorriendo la costanera (Av Río Iguazú) al atardecer para disfrutar de las vistas del Río Iguazú ...;Interesting tour to do at night, I recommend getting there walking along the waterfront (Av Rio Iguazu) at sunset to enjoy the views of the Iguazu River ...;4.0;Hito Tres Fronteras;attraction;jony_quilmes25;id_3;3.7;5425.0;Puerto Iguazú;Argentina;;;4;4
29;Entretenido;Entertaining;El Guira Oga es un refugio de animales salvajes o rescatados cuya entrada tiene un valor general de $300 o para jubilados $200. Se puede llegar en transporte pú...;The Guira Oga is a shelter for wild or rescued animals whose entrance fee is $300 for the general public or $200 for senior citizens.;5.0;Guiraoga;attraction;jony_quilmes25;id_3;4.3;1948.0;Puerto Iguazú;Argentina;;;4;4
30;Maravilla Natural;Maravilla Natural;¡Sin dudas las Cataratas del Iguazú son una maravilla natural del mundo! Quedé fascinado con el Parque Nacional Iguazú, los senderos permiten apreciar la bellez...;Without a doubt the Iguazu Falls are a natural wonder of the world! I was fascinated with the Iguazu National Park, the trails allow you to appreciate the beauty of the...;5.0;Cataratas del Iguazu Lado Argentino;attraction;jony_quilmes25;id_3;4.8;907.0;Puerto Iguazú;Argentina;;;3;4
32;Maravilloso;Wonderful;Sin dudas las Cataratas del Iguazú son una maravilla natural del mundo, y la Garganta del Diablo lo confirma. Poder estar tan cerca de este fenómeno natural y p...;Without a doubt, the Iguazu Falls are a natural wonder of the world, and the Garganta del Diablo (Devil's Throat) confirms it. To be able to be so close to this natural phenomenon and p...;5.0;Garganta del Diablo;attraction;jony_quilmes25;id_3;4.9;16100.0;Puerto Iguazú;Argentina;;;4;3
33;Hermoso trekking;Hermoso trekking;Es un trekking en promedio de 3hs de ida (me llevó aprox. 2:30hs a buen ritmo), de 9 km de dificultad moderada, si bien no se asciende tanto en altura por momen...;It is an average trekking of 3hs one way (it took me approx. 2:30hs at a good pace), 9 km of moderate difficulty, although it does not ascend much in altitude at the moment....;5.0;Laguna Torre;attraction;jony_quilmes25;id_3;4.8;1586.0;El Chalten;Argentina;;;3;2
34;Hermoso trekking;Hermoso trekking;Para llegar al Glaciar Huemul es necesario acercarse hasta la punta sur del Lago del Desierto, ya por fuera del Parque Nacional Los Glaciares.. Para ello debe c...;To reach the Huemul Glacier it is necessary to go to the southern tip of Lago del Desierto, outside Los Glaciares National Park. To do this you must c...;5.0;Glaciar Huemul;attraction;jony_quilmes25;id_3;4.7;676.0;El Chalten;Argentina;;;3;3
35;Ideal para días cortos o feos;Ideal for short or bad days;Es una caminata de aproximadamente 1 hora sin mucho desnivel ni dificultad. Se puede llegar caminando desde el pueblo (tener cuidado días de demasiado viento ya...;It is a walk of about 1 hour without much slope or difficulty. It can be reached on foot from the village (be careful on windy days because it is very windy)....;4.0;Chorillo del Salto;attraction;jony_quilmes25;id_3;4.2;1359.0;El Chalten;Argentina;;;3;3
36;Muy linda laguna;Very nice lagoon;Es una linda laguna a la que se puede llegar desde el pueblo en un camino en subida de 1:30 a 2 hs aprox. Idealmente hacerla en un día no muy nublado ni lluvio...;It is a beautiful lagoon that can be reached from the town on an uphill road of 1:30 to 2 hours approx. Ideally do it on a day not too cloudy or rainy....;5.0;Laguna Capri;attraction;jony_quilmes25;id_3;4.6;1391.0;El Chalten;Argentina;;;4;3
37;Hermosas vistas;Beautiful views;Son senderos cortos de aprox 1 hora en subida sin demasiada dificultad. Llegado a cierto punto el camino se desvía hacia el mirador de los Cóndores de 10 min o ...;They are short trails of about 1 hour uphill without too much difficulty. At a certain point the road turns off to the viewpoint of the Condors for 10 minutes or ...;5.0;El Mirador De Los Condores;attraction;jony_quilmes25;id_3;4.4;841.0;El Chalten;Argentina;;;4;3
38;Exigente pero vale la pena;Exigente pero vale la pena;Es probablemente el sendero más exigente de los que se pueden hacer en el día yendo y volviendo desde el pueblo en 4hs de ida aprox. Se camina la mayor parte de...;It is probably the most demanding trail that can be done in a day, going and returning from the village in about 4 hours one way. You walk most of the way...;5.0;Sendero Loma del Pliegue Tumbado;attraction;jony_quilmes25;id_3;4.8;274.0;El Chalten;Argentina;;;3;3
39;Buen servicio pero aspectos a mejorar;Good service but areas for improvement;Contraté el servicio desde y hacia el aeropuerto de El Calafate y El Chaltén, así como para ir hasta Hostería del Pilar y a Lago del Desierto. Fueron puntuales ...;I hired the service to and from the airport in El Calafate and El Chalten, as well as to go to Hosteria del Pilar and Lago del Desierto. They were punctual ...;4.0;Transporte LAS LENGAS;attraction;jony_quilmes25;id_3;3.8;120.0;El Chalten;Argentina;;;4;4
40;Buena vista;Good view;Se apreciar el glaciar de lejos desde un mirador realizando el camino a Laguna de los Tres iniciandolo en Hostería del Pilar. Bonita vista.;You can see the glacier from a distance from a viewpoint on the road to Laguna de los Tres starting at Hostería del Pilar. Nice view.;4.0;Glaciar Piedras Blancas;attraction;jony_quilmes25;id_3;4.6;261.0;El Chalten;Argentina;;;4;3
41;Hermoso trekking;Hermoso trekking;Hice el sendero a Laguna de los Tres desde donde se aprecia de cerca el Fitz Roy. Lamentablemente me tocó un día nublado por lo que se encontraba tapado por las...;I hiked the trail to Laguna de los Tres from where the Fitz Roy can be seen up close. Unfortunately it was a cloudy day, so it was covered by the snow....;5.0;Cerro Fitz Roy;attraction;jony_quilmes25;id_3;4.9;2968.0;El Chalten;Argentina;;;3;3
42;PASEO EN BARCO ANGRA DO REY ,ACEPTABLE;BOAT TRIP ANGRA DO REY ,ACCEPTABLE;Contratamos con la agencia RIO MAXIMO y nos pareció muy extraño que la guía no era de esa agencia ( quizá sea tercerizada ) El paseo fue normal, me esperaba al...;We contracted with the agency RIO MAXIMO and it seemed very strange to us that the guide was not from that agency (maybe it is outsourced) The tour was normal, I was waiting for the...;3.0;;attraction;marielaf919;id_4;4.8;3062.0;Río de Janeiro;RJ;10.0;2023.0;3;4
43;GLACIAR HUEMUL IMPERDIBLE!!;HUEMUL GLACIER NOT TO BE MISSED!!!;Fuimos en colectivo,demoramos 1 hora y 20 .Los paisajes que se disfrutan estando en el colectivo son realmente hermosos . . El sendero para ascender al glaciar...;We went by bus, it took us 1 hour and 20 minutes. The landscapes that you can enjoy being on the bus are really beautiful. The path to ascend to the glacier....;5.0;Glaciar Huemul;attraction;marielaf919;id_4;4.7;676.0;El Chalten;Argentina;4.0;2023.0;3;4
44;Trekking de dia completo, bellisimo !!;Trekking de dia completo, bellisimo !!!;El paisaje hasta Laguna Torre me pareció fascinante ! En época de otoño los colores de los árboles te impacta ( desde amarillo hasta bordó) Tengan en cuenta que...;I found the scenery up to Laguna Torre fascinating ! In autumn time the colors of the trees make an impact on you (from yellow to burgundy)....;5.0;Laguna Torre;attraction;marielaf919;id_4;4.8;1586.0;El Chalten;Argentina;4.0;2023.0;3;4
45;Hotel excelente ,ambientado con madera;Excellent hotel, decorated with wood;Hotel espectacular!! No tengo ninguna queja .Habitación hermosa ,baño muy grande con hidromasaje ,excelente desayuno y la calidez de Rafa ,que nos ofreció de co...;Spectacular hotel! I have no complaints .beautiful room ,very large bathroom with hydromassage ,excellent breakfast and the warmth of Rafa ,who offered us from the beginning to the end of the...;5.0;Patagonia Queen;hotel;marielaf919;id_4;4.7;428.0;El Calafate;Argentina;4.0;2023.0;4;3
46;Comida exquisita;Exquisite food;Platos exquisitos ,ambientación excelente ,atención muy buena ! Platos abundantes .Me encantó!! Ir temprano porque se llena de gente .;Exquisite dishes, excellent ambience, very good service! Abundant dishes, I loved it! Go early because it gets crowded.;5.0;Pura Vida Resto Bar;restaurant;marielaf919;id_4;4.5;1991.0;El Calafate;Argentina;4.0;2023.0;3;4
47;Cocción al disco un manjar;Disk cooking a delicacy;Quedamos encantados con las exquisiteces al disco .Porciones abundantes ,super bien condimentado y atención excelente!! El pan casero con manteca de ajo una del...;We were delighted with the delicacies to the disk, abundant portions, super well seasoned and excellent attention! The homemade bread with garlic butter one of the...;5.0;Isabel Cocina Al Disco;restaurant;marielaf919;id_4;4.5;3919.0;El Calafate;Argentina;4.0;2023.0;3;4
48;LA MEJOR EXCURSIÓN!!;THE BEST EXCURSION!;Recorrido en catamaran de día completo con servicio a bordo de almuerzo ( opcional) Una excursión soñada ,me quedé sin aliento ante tanta belleza ! Para los arg...;Full day catamaran tour with lunch on board (optional) A dreamed excursion, I was breathless before so much beauty! For the arg...;5.0;Rios de Hielo;attraction;marielaf919;id_4;4.6;1178.0;El Calafate;Argentina;4.0;2023.0;3;4
49;ALUCINANTE !!;AMAZING!;Alucinante!! Nos toco un día con llovizna y aun así lo disfrutamos con todo su esplendor!! Vale cada centavo ! Los guías super profesionales .Caminar sobre el ...;Amazing! We had a drizzly day and we still enjoyed it in all its splendor! Worth every penny! The guides were super professional....;5.0;Hielo Aventura;attraction;marielaf919;id_4;4.7;3583.0;El Calafate;Argentina;4.0;2023.0;3;4
50;Argentinos no se pierdan semejante belleza natural!!!;Argentines do not miss such a natural beauty!!!;Imponente ,soñado !! Me quedé sin aliento ante tanta belleza ! Ningún argentino debería perderse semejante paisaje natural .Las pasarelas divinas ,sumamente c...;Imposing, dreamy! I was breathless before so much beauty! No Argentinian should miss such a natural landscape, the divine walkways, extremely beautiful and...;5.0;Pasarelas Perito Moreno;attraction;marielaf919;id_4;4.9;2531.0;El Calafate;Argentina;4.0;2023.0;2;4
51;Día de cumple con un buen cordero asado !;Birthday with a good roast lamb !;Fuimos con mi esposo el día de mi cumpleaños.Pedimos cordero asado y estaba exquisito! Porciones abundantes .Muy amable un mozo que nos regalo un postre con vel...;We went with my husband on my birthday, we ordered roast lamb and it was delicious! The waiter was very kind and gave us a dessert with a velvety cream...;5.0;La Estancia;restaurant;marielaf919;id_4;3.9;1853.0;Ushuaia;Argentina;3.0;2023.0;4;4
52;Menú de merluza negra escaso.;The black hake menu was not very good.;Fuimos a las 20 y 30 y no había centolla ,así que probamos merluza negra y para sorpresa para mu gusto es un pescado muy grasoso .La porción es escasa,me parece...;We went at 20:30 and there was no spider crab, so we tried black hake and to my surprise it is a very oily fish, the portion is scarce, it seems to me that it is...;3.0;El Viejo Marino;restaurant;marielaf919;id_4;4.4;1988.0;Ushuaia;Argentina;3.0;2023.0;2;2
53;Glaciar colgante con muy buen paisaje !!;Hanging glacier with great scenery!;El glaciar Martial se trata de un glaciar colgante .El trekking para acercarse y tener una buena vista ,comienza en la base donde hay una casa de te muy recomen...;The Martial Glacier is a hanging glacier. The trekking to get closer and have a good view, begins at the base where there is a very recommendable tea house....;5.0;Glacier Martial;attraction;marielaf919;id_4;4.4;3281.0;Ushuaia;Argentina;3.0;2023.0;4;3
54;Cartel en la costanera;Sign on the waterfront;El cartel se encuentra en la costanera al lado de las agencias .Hermosa costanera para caminar ,tomar mate y contemplar el paisaje .;The sign is located on the waterfront next to the agencies. Beautiful waterfront to walk, drink mate and contemplate the scenery.;3.0;Placa Fin Del Mundo;attraction;marielaf919;id_4;4.1;15.0;Ushuaia;Argentina;3.0;2023.0;3;4
55;Navegación aceptable;Acceptable navigation;Paseo muy lindo ,con mucha navegación y vista de Ushuaia desde el agua .No me parece un imperdible ya que si el clima no acompaña la navegación se hace monótona...;Very nice ride, with lots of navigation and view of Ushuaia from the water. I do not think it is a must because if the weather does not accompany navigation becomes monotonous...;4.0;Canal Beagle;attraction;marielaf919;id_4;4.6;8105.0;Ushuaia;Argentina;3.0;2023.0;3;3
56;LAGUNA ESMERALDA UN IMPERDIBLE EN USHUAIA !!;LAGUNA ESMERALDA A MUST SEE IN USHUAIA !!!;Laguna Esmeralda,un trekking imperdible ,soñado el paisaje,me quedé impactada con los colores de otoño de los árboles,creo debe ser la época del año más hermosa...;Laguna Esmeralda, a trekking not to be missed, dreamed the landscape, I was shocked with the autumn colors of the trees, I think it must be the most beautiful time of the year...;5.0;Laguna Esmeralda;attraction;marielaf919;id_4;4.7;2796.0;Ushuaia;Argentina;3.0;2023.0;3;4
57;Pizzas deliciosas y cervezas bien frias;Delicious pizzas and cold beers;Ambiente hermoso al aire libre con buena musica en vivo ,mozos muy amables y pizzas riquísimas ! Lo recomiendo!! Es una zona que pertenece al paseo del BEACH P...;Beautiful outdoor environment with good live music, very friendly waiters and delicious pizzas! I recommend it! It is an area that belongs to the BEACH P...;4.0;Pizzaria da Vila;restaurant;marielaf919;id_4;4.9;2014.0;Aquiraz;CE;8.0;2022.0;3;4
58;Playa hermosa depende la hora del dia;Beautiful beach depending on the time of day;En el norte de Brasil la belleza de las playas depende mucho de los horarios.Disfrute de esta playa ,de sus aguas tibias y olas .La arena es blanca y super exte...;In the north of Brazil the beauty of the beaches depends a lot on the time of day, enjoy this beach, its warm waters and waves, the sand is white and very exte...;4.0;Praia Porto das Dunas;attraction;marielaf919;id_4;4.5;2772.0;Aquiraz;CE;8.0;2022.0;4;4
59;Acai y creps deliciosos;Acai and delicious pancakes;Fuimos a comer postre alli y nos atendio su dueño muy simpatico .Ricos los creps y acai ,ambiente hermoso .Recomiendo !!;We went to eat dessert there and we were served by the owner very nice .delicious pancakes and acai ,beautiful atmosphere .I recommend !!!!;4.0;Crepioca Jeri Fit Food;restaurant;marielaf919;id_4;4.8;896.0;Jericoacoara;CE;9.0;2022.0;4;4
60;Impactante ,paisaje diferente !!;A striking, different landscape!;Llegamos con buggie,sacamos fotos ,tomé un baño ,el agua estaba tibia y cristalina.Me fascino !! No se pierdan este lugar !!;We arrived by buggy, we took pictures, I took a bath, the water was warm and crystal clear, I was fascinated! Do not miss this place!;5.0;Lagoa do Amancio;attraction;marielaf919;id_4;4.6;65.0;Jericoacoara;CE;8.0;2022.0;4;3
61;La mejor visita de bodega en Mendoza;The best winery visit in Mendoza;Fuimos con amigos y la verdad, fue la mejor experiencia de bodega que tuvimos en Mendoza. Nos recibió la dueña, Cecilia, que es una apasionada total por el vino...;We went with friends and the truth is, it was the best winery experience we had in Mendoza. We were greeted by the owner, Cecilia, who is totally passionate about wine....;5.0;;attraction;elyei88;id_5;5.0;75.0;Lujan de Cuyo;Argentina;2.0;2025.0;4;4
62;Las mejores pizzas de Pernambuco;The best pizzas in Pernambuco;Sin duda las mejores pizzas y el mejor ambiente familiar que hacen de éste, un lugar único. La atención recibida fue excelente y el trato familiar con los clien...;Undoubtedly the best pizzas and the best family atmosphere make this a unique place. The attention received was excellent and the familiar treatment with the customers was...;5.0;Familia Due Fratelli;restaurant;elyei88;id_5;4.9;95.0;Araripina;PE;9.0;2015.0;4;5
63;Excelente ambiente;Excellent environment;La verdad que es uno de los mejores hostel en los que he estado. El lugar es muy bueno, el personal muy atento y las facilidades del hostel son excelentes. Afue...;The truth is that it is one of the best hostels I have ever stayed in. The place is very good, the staff very attentive and the hostel facilities are excellent. The...;5.0;Dreamer Santa Marta;hotel;elyei88;id_5;4.5;785.0;Santa Marta;Colombia;1.0;2015.0;4;4
64;Muy normal;Very normal;Es un hostel normal, es caro como todos los alojamientos de Cartagena y no se justifica en lo que ofrece. Los baños no tenían presión de agua para bañarse y en ...;It is a normal hostel, it is expensive like all accommodations in Cartagena and is not justified in what it offers. The bathrooms had no water pressure for bathing and in the ...;3.0;Media Luna Hostel;hotel;elyei88;id_5;3.4;621.0;Cartagena;Colombia;1.0;2015.0;3;2
65;Muy buen hostel y excelente ubicación;Very good hostel and excellent location;Muy buen hostel, muy buen ambiente, la gente muy piola y el personal muy útil. Las habitaciones son muy cómodas, tienen AC y la ubicación es muy buena porque es...;Very good hostel, very good atmosphere, very nice people and very helpful staff. The rooms are very comfortable, they have AC and the location is very good because it is...;4.0;Hostel Siriri;hotel;elyei88;id_5;3.7;159.0;Ciudad de Panamá;Panamá;1.0;2015.0;5;4
66;Divinas! Volvería!;Divine! I'd come back!;Hermosa vista, las cabañas muy cómodas y bien atendidas, solo le faltan un poco de mantenimiento, por lo demás excelente, se llevan los aplausos las vistas, rea...;Beautiful view, the cabins are very comfortable and well cared for, only lacking a little maintenance, otherwise excellent, they take the applause for the views, the rea...;5.0;;hotel;Navigate72091;id_6;4.7;145.0;Villa La Angostura;Argentina;2.0;2024.0;3;4
67;Vista increíble platos mínimos!;Incredible view of minimal dishes!;El lugar es impresionante, la vista y la ambientación me encantaron, la vista es única, fui con un grupo de ocho personas , los platos buenos pero mínimos, un p...;The place is impressive, the view and the ambiance enchanted me, the view is unique, I went with a group of eight people, the dishes were good but minimal, a p...;3.0;Mirador Lake Cuisine;restaurant;Navigate72091;id_6;4.3;628.0;Villa La Angostura;Argentina;2.0;2024.0;3;4
